date,m_aud_exp_im,m_aud_exp_sp,m_aud_ret_im,m_aud_ret_sp,m_aud_app_im,m_aud_app_sp,m_disst_app_sp,m_disst_exp_sp,m_disst_ret_sp,m_disst_home_sp,m_disst_app_im,m_disst_exp_im,m_disst_ret_im,m_disst_home_im,m_disvd_app_sp,m_disvd_exp_sp,m_disvd_ret_sp,m_disvd_home_sp,m_disvd_app_im,m_disvd_exp_im,m_disvd_ret_im,m_disvd_home_im,m_dig_exp_sp,m_dig_ret_sp,m_oohdig_ret_sp,m_oohpap_ret_sp,m_oohdig_ret_gr,m_oohpap_ret_gr,m_oohdig_ret_ip,m_oohpap_ret_ip,m_oohdig_app_sp,m_oohpap_app_sp,m_oohdig_app_gr,m_oohpap_app_gr,m_oohdig_app_ip,m_oohpap_app_ip,m_oohdig_home_sp,m_oohpap_home_sp,m_oohdig_home_gr,m_oohpap_home_gr,m_oohdig_home_ip,m_oohpap_home_ip,m_ooh_befo_ret_ip,m_ooh_befo_exp_ip,m_ooh_befo_home_ip,m_ooh_befo_app_ip,m_ooh_befo_ret_sp,m_ooh_befo_exp_sp,m_ooh_befo_home_sp,m_ooh_befo_app_sp,m_ooh_befo_rtd_sp,m_prs_ret_sp,m_prs_ret_gr,m_prs_home_sp,m_prs_exp_sp,m_prs_rtd_sp,m_rad_ret_sp,m_rad_ret_im,m_rad_ret_gr,m_rad_exp_sp,m_rad_home_sp,m_radprt_ret_sp,m_radprt_ret_gr,m_soctw_exp_sp,m_soctw_exp_im,m_soctw_ret_sp,m_soctw_ret_im,m_socsn_exp_sp,m_socsn_exp_im,m_socsn_ret_sp,m_socsn_ret_im,m_socfb_exp_sp,m_socfb_exp_im,m_socfb_ret_sp,m_socfb_ret_im,m_vod_ret_sp,m_vod_ret_im,m_cin_ret_sp,m_drd_ret_sp,m_tvv_ret_sp,m_tvvspons_ret_vf,m_tvvspons_ret_sec,m_tvvspons_ret_val,m_tvvspons_ret_ppval,m_tvvspons_ret_sp,m_drm_ret_sp,m_tot_exp_sp,m_tot_ret_sp,m_tot_app_sp,m_tot_home_sp,m_tot_rtd_sp,m_aud_ret_sp_1,m_dis_ret_sp,m_dig_ret_sp_1,m_ooh_ret_sp,m_prs_ret_sp_1,m_rad_ret_sp_1,m_soc_ret_sp,m_vod_ret_sp_1,m_cin_ret_sp_1,m_drd_ret_sp_1,m_tvv_ret_sp_1,m_drm_ret_sp_1,M_EML_DELROLL_VOL,M_RADAUD_RET_SP,M_EML_DELIV_VOL,M_DIGALL_RET_SP,M_EML_FOOU_VOL,M_TOT_EXP18_SP,M_TOT_EXP19_SP,M_TOT_EXP20_SP,M_DRM_TOT_SP,m_dis_exp_sp,m_soc_exp_sp,m_radaud_exp_sp,m_ooh_exp_sp,m_ooh_exp18_sp,m_ooh_exp19_sp,m_dig_exp18_sp,m_dig_exp19_sp,m_prs_exp18_sp,m_prs_exp19_sp,m_rad_exp18_sp,m_rad_exp20_sp
16/06/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5894.2282981436265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18083.899268755868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32232.170254221604,0,0,0,0,0,4562.895267396657,0,13199.040489704308,0,0,0,0,0,0,0,0,0,0,5579.328256312854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/06/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.93419643657265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3516.779534615614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5401.829074004963,0,0,0,0,0,167.935133861151,0,2566.820063577385,0,0,0,0,0,0,0,0,0,0,205.34445405182035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23541.674713040095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20013328.461491834,0,0,0,56119.22086000073,0,0,0,0,4601.6407262972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135399.01799995688,0,0,0,0,0,18224.301927455595,62805.6828696393,3358.6363959904797,0,0,0,0,0,0,0,0,0,0,22283.95716683688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/07/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44383.58411183774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35023324.803042084,0,0,0,98208.6365269923,0,0,0,0,2133.255854224364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231165.94183950961,0,0,0,0,0,34358.63622007793,109909.94504647996,1557.0165469486863,0,0,0,0,0,0,0,0,0,0,42012.38439128754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/07/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39567.02251463361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15009996.341550253,0,0,0,42089.41564500054,0,0,0,0,7790.730116165409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128391.82954163339,0,0,0,0,0,30629.994402127144,47104.26215222947,5686.28262740265,0,0,0,0,0,0,0,0,0,0,37453.148328779396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/07/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61877.901341790464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13399.023156701473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77496.99751429327,0,0,0,0,0,47901.50107993205,0,9779.652415635002,0,0,0,0,0,0,0,0,0,0,58572.06506682516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/07/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32416.53601395836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10306.89689554982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45459.54660751328,0,0,0,0,0,25094.59275781171,0,7522.777440074131,0,0,0,0,0,0,0,0,0,0,30684.67765516028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/08/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37199.65945475182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3720.3714136951703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40180.435437665656,0,0,0,0,0,28797.349116645688,0,2715.417300014597,0,0,0,0,0,0,0,0,0,0,35212.261999841365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48935.28027957193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21859075.092461735,0,0,0,61294.86484869192,0,0,0,0,1294.7242178360402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164018.9546004997,0,0,0,0,0,37882.237928705836,68597.99163691197,944.9907412249332,0,0,0,0,0,0,0,0,0,0,46320.90550011335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15776.651760777542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38253381.41409235,0,0,0,107266.01348337828,0,0,0,0,1219.8903349783222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220358.91750607023,0,0,0,0,0,12213.169564078336,120046.48536254503,890.3711353998029,0,0,0,0,0,0,0,0,0,0,14933.781744870108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
